module	ID
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C15972
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C16254
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00091
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C15973
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00042
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00122
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00149
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00036
M00012:Glyoxylate cycle	C00024
M00012:Glyoxylate cycle	C00036
M00012:Glyoxylate cycle	C00158
M00012:Glyoxylate cycle	C00417
M00012:Glyoxylate cycle	C00311
M00012:Glyoxylate cycle	C00048
M00012:Glyoxylate cycle	C00149
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C00100
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C00894
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C05668
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C01013
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C00222
"M00013:Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	C00024
M00014:Glucuronate pathway (uronate pathway)	C00029
M00014:Glucuronate pathway (uronate pathway)	C00167
M00014:Glucuronate pathway (uronate pathway)	C05385
M00014:Glucuronate pathway (uronate pathway)	C00191
M00014:Glucuronate pathway (uronate pathway)	C03033
M00014:Glucuronate pathway (uronate pathway)	C00800
M00014:Glucuronate pathway (uronate pathway)	C00618
M00014:Glucuronate pathway (uronate pathway)	C00312
M00014:Glucuronate pathway (uronate pathway)	C00379
M00014:Glucuronate pathway (uronate pathway)	C00310
M00014:Glucuronate pathway (uronate pathway)	C00231
"M00015:Proline biosynthesis, glutamate => proline"	C00025
"M00015:Proline biosynthesis, glutamate => proline"	C03287
"M00015:Proline biosynthesis, glutamate => proline"	C01165
"M00015:Proline biosynthesis, glutamate => proline"	C00077
"M00015:Proline biosynthesis, glutamate => proline"	C03912
"M00015:Proline biosynthesis, glutamate => proline"	C00148
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C00049
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C03082
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C00441
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C20258
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C03972
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C04462
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C04421
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C00666
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C00680
"M00016:Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	C00047
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C00049
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C03082
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C00441
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C00263
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C01118
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C02291
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C00155
"M00017:Methionine biosynthesis, aspartate => homoserine => methionine"	C00073
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C00049
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C03082
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C00441
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C00263
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C01102
"M00018:Threonine biosynthesis, aspartate => homoserine => threonine"	C00188
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00022
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C06010
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C04181
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C04272
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00141
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00183
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00109
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C06006
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C14463
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C06007
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00671
"M00019:Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	C00407
"M00020:Serine biosynthesis, glycerate-3P => serine"	C00197
"M00020:Serine biosynthesis, glycerate-3P => serine"	C03232
"M00020:Serine biosynthesis, glycerate-3P => serine"	C01005
"M00020:Serine biosynthesis, glycerate-3P => serine"	C00065
"M00021:Cysteine biosynthesis, serine => cysteine"	C00065
"M00021:Cysteine biosynthesis, serine => cysteine"	C00979
"M00021:Cysteine biosynthesis, serine => cysteine"	C00283
"M00021:Cysteine biosynthesis, serine => cysteine"	C00097
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C00074
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C00279
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C04691
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C00944
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C02637
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C00493
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C03175
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C01269
"M00022:Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	C00251
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C00251
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C00108
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C04302
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C01302
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C03506
"M00023:Tryptophan biosynthesis, chorismate => tryptophan"	C00078
"M00024:Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"	C00251
"M00024:Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"	C00254
"M00024:Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"	C00166
"M00024:Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"	C00079
"M00025:Tyrosine biosynthesis, chorismate => HPP => tyrosine"	C00251
"M00025:Tyrosine biosynthesis, chorismate => HPP => tyrosine"	C00254
"M00025:Tyrosine biosynthesis, chorismate => HPP => tyrosine"	C01179
"M00025:Tyrosine biosynthesis, chorismate => HPP => tyrosine"	C00082
"M00026:Histidine biosynthesis, PRPP => histidine"	C00119
"M00026:Histidine biosynthesis, PRPP => histidine"	C02739
"M00026:Histidine biosynthesis, PRPP => histidine"	C02741
"M00026:Histidine biosynthesis, PRPP => histidine"	C04896
"M00026:Histidine biosynthesis, PRPP => histidine"	C04916
"M00026:Histidine biosynthesis, PRPP => histidine"	C04666
"M00026:Histidine biosynthesis, PRPP => histidine"	C01267
"M00026:Histidine biosynthesis, PRPP => histidine"	C01100
"M00026:Histidine biosynthesis, PRPP => histidine"	C00860
"M00026:Histidine biosynthesis, PRPP => histidine"	C01929
"M00026:Histidine biosynthesis, PRPP => histidine"	C00135
M00027:GABA (gamma-Aminobutyrate) shunt	C00025
M00027:GABA (gamma-Aminobutyrate) shunt	C00334
M00027:GABA (gamma-Aminobutyrate) shunt	C00232
M00027:GABA (gamma-Aminobutyrate) shunt	C00042
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C00025
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C00624
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C04133
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C01250
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C00437
"M00028:Ornithine biosynthesis, glutamate => ornithine"	C00077
M00029:Urea cycle	C00014
M00029:Urea cycle	C00169
M00029:Urea cycle	C00077
M00029:Urea cycle	C00327
M00029:Urea cycle	C00049
M00029:Urea cycle	C03406
M00029:Urea cycle	C00062
M00029:Urea cycle	C00122
M00029:Urea cycle	C00086
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00026
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00024
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C01251
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C04002
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C05662
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00322
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00956
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C05560
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C05535
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C04076
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00449
"M00030:Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	C00047
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C00956
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C19886
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C19887
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C19888
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C19889
"M00031:Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	C00047
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00047
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00449
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C04076
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00956
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00322
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00527
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C15972
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C06157
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C15973
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00877
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C01144
"M00032:Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	C00332
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C00049
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C03082
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C00441
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C03283
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C06442
"M00033:Ectoine biosynthesis, aspartate => ectoine"	C06231
M00034:Methionine salvage pathway	C00073
M00034:Methionine salvage pathway	C00019
M00034:Methionine salvage pathway	C01137
M00034:Methionine salvage pathway	C00170
M00034:Methionine salvage pathway	C03089
M00034:Methionine salvage pathway	C04188
M00034:Methionine salvage pathway	C04582
M00034:Methionine salvage pathway	C15650
M00034:Methionine salvage pathway	C15651
M00034:Methionine salvage pathway	C15606
M00034:Methionine salvage pathway	C01180
M00035:Methionine degradation	C00073
M00035:Methionine degradation	C00019
M00035:Methionine degradation	C00021
M00035:Methionine degradation	C00155
M00035:Methionine degradation	C00065
M00035:Methionine degradation	C02291
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C00123
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C00233
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C15972
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C15975
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C02939
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C15973
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C03069
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C03231
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C00356
"M00036:Leucine degradation, leucine => acetoacetate + acetyl-CoA"	C00164
"M00037:Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	C00078
"M00037:Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	C00643
"M00037:Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	C00780
"M00037:Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	C00978
"M00037:Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	C01598
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C00078
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C02700
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C00328
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C03227
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C00632
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C04409
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C03824
"M00038:Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	C02220
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00079
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00423
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00811
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00082
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00223
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C05608
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C02646
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C02947
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C10434
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00323
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00406
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C02666
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C00590
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C12204
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C05610
"M00039:Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	C02325
"M00040:Tyrosine biosynthesis, chorismate => arogenate => tyrosine"	C00251
"M00040:Tyrosine biosynthesis, chorismate => arogenate => tyrosine"	C00254
"M00040:Tyrosine biosynthesis, chorismate => arogenate => tyrosine"	C00826
"M00040:Tyrosine biosynthesis, chorismate => arogenate => tyrosine"	C00082
"M00042:Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	C00082
"M00042:Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	C00355
"M00042:Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	C03758
"M00042:Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	C00547
"M00042:Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	C00788
"M00043:Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	C00082
"M00043:Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	C02515
"M00043:Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	C01060
"M00043:Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	C02465
"M00043:Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	C01829
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C00082
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C01179
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C00544
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C01036
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C01061
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C00164
"M00044:Tyrosine degradation, tyrosine => homogentisate"	C00122
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C00135
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C00785
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C03680
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C00439
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C00025
"M00045:Histidine degradation, histidine => N-formiminoglutamate => glutamate"	C01045
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C00106
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C00429
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C02642
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C00099
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C00178
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C21028
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C21029
"M00046:Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	C01205
M00047:Creatine pathway	C00062
M00047:Creatine pathway	C00581
M00047:Creatine pathway	C00300
M00047:Creatine pathway	C02305
M00047:Creatine pathway	C00791
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C00119
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C00064
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C03090
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C03838
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04376
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04640
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C03373
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04751
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C15667
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04823
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04677
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C04734
"M00048:De novo purine biosynthesis, PRPP + glutamine => IMP"	C00130
"M00049:Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	C00130
"M00049:Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	C03794
"M00049:Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	C00020
"M00049:Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	C00008
"M00049:Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	C00002
"M00050:Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"	C00130
"M00050:Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"	C00655
"M00050:Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"	C00144
"M00050:Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"	C00035
"M00050:Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"	C00044
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00064
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00169
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00438
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00337
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00295
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00119
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C01103
"M00051:De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"	C00105
"M00052:Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	C00105
"M00052:Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	C00015
"M00052:Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	C00075
"M00052:Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	C00063
